Gene_Symbol,GC10_P,GC10_T,GC01_P,GC01_T,GC02_P,GC02_T,GC03_P,GC03_T,GC04_P,GC04_T,GC05_P,GC05_T,GC07_P1,GC07_P2,GC07_T,GC08_P,GC08_T1,GC08_T2,GC09_P,GC09_T
TLE4,502.106203328433,164.471307373253,755.190432777679,290.293798273115,373.59188480296,405.76098678354,323.913637903759,453.899405131412,447.276458051757,613.221063990752,671.09802864423,590.186190727779,468.343143052909,479.28113567356,416.388151340623,498.477657812111,321.949763622948,285.400515813834,463.395762065698,450.423836928522
MRPS14,479.630594872997,655.560940808046,384.785277033389,422.227992152027,535.53782447473,455.636534060598,304.794091400106,398.177720789002,472.93423574376,564.531649362965,408.220069563568,361.207423051824,448.526121985739,585.136592136267,545.660963826088,426.626255286662,465.602694972009,371.993798063514,323.235813578387,520.079804049594
CSRNP2,538.413295721919,448.052432972521,413.059612267265,501.505277814676,478.595274819518,395.583180725286,492.332860019916,391.358233851383,525.757866970919,592.64722306326,338.800064545879,392.886359273159,483.238832523043,313.732807179449,693.484327238982,286.650901989374,401.006819658334,456.065358399941,427.80190286774,686.625831123114
FRMD4B,669.148331991094,528.558780137285,495.125305626226,430.921759114435,453.180892058274,457.387883910877,661.74235649211,450.320436873607,555.186382738857,183.497966641612,666.622437077936,509.347575679141,793.930035685326,329.220451373677,413.880823190138,332.229362845573,298.286860801142,320.014502309454,322.447306254898,362.749216580098
DEXI,482.824249618126,276.743833775306,349.771333968953,315.637901577025,360.283948578745,333.37124928155,602.784120547845,621.436703776799,751.994641512251,939.535491938867,464.486129340679,438.873908941074,482.311616390605,638.173315213145,545.52284351506,436.163804990876,405.066654014353,404.070863206658,426.926490700633,465.867664286847
EEPD1,589.683277229235,343.75994555396,378.598471863082,657.444867904938,270.290988962356,207.665812724058,620.570420929653,591.68896121408,794.40963181381,471.349593957761,431.879289612279,233.248424402575,601.997783288595,641.412732783814,220.863581987469,299.922986296188,503.892037676419,549.081081027175,261.433229956726,357.01213478716
ZNF3,314.211069622677,445.783058658182,387.080545629896,403.991974562469,749.600056795197,662.99259882631,541.956954720129,447.814293028718,453.725012495956,295.51930314252,396.912244455693,352.602824740702,490.844673244756,444.130966846853,449.425449253248,599.961828275176,804.258356915625,707.408299609331,547.800972184922,548.153172484272
ADO,526.421236058133,426.934647789758,287.282015850164,381.755501094353,544.724403871048,474.252249977951,343.150548819183,435.732187936175,510.509525905696,497.725144985215,387.896261433453,351.522784369123,348.859808142021,307.733505584333,528.565460239744,362.395337213046,595.483289275185,466.845216502042,493.50329535198,624.936667656481
IRF7,387.793125769387,511.675338756323,566.335740925523,1093.3308702087,608.891323564858,934.916400943334,316.975108228671,337.941172374599,328.953772818389,299.27811027934,478.2705554296,809.645611008725,406.788545410457,329.052756666792,1122.93610995894,340.348175233396,338.029127337213,423.809809196039,487.303177877926,956.59871314089
THEMIS2,524.426304474512,536.058242555904,247.593989653889,1439.52059105824,658.464163090253,977.086792179124,66.8556750693654,285.112316842796,134.937838794871,233.448734676035,738.059938409667,786.10320758194,326.358499561672,410.49952956512,720.021980605278,146.538616979393,235.188522748064,491.512285534077,306.900364239907,705.995154088291
UBE2F,470.805181866953,287.444876981597,284.826223391425,373.902752367379,476.767595032303,527.264624288607,446.552665412755,455.439579211092,366.99961578317,300.019586736227,342.425166474954,376.710025305552,490.083938328575,504.349100762415,932.139387501465,417.482401425889,591.898122592863,570.577898576571,391.45769750921,549.088705462941
OSER1,357.792702450488,624.430721397176,299.720943892437,474.713235421666,858.577481538286,955.678439278482,365.71040382241,262.546141229967,386.983285541143,250.010429775292,297.944709849789,288.791703727172,571.115323900312,730.126170457072,626.500083754227,413.923929025457,550.537619047046,506.960935929746,440.019302430788,461.825667831989
GIMAP4,665.266172383736,419.415682407799,350.056351812669,798.116820139152,355.22853525137,626.103581967755,482.210843668571,495.391719009568,382.934223562994,168.419541417621,542.127729046642,644.554273256168,296.745297793869,372.733119690197,575.872458147532,271.025296731597,142.386784789782,494.108777716571,353.386427842966,742.0561462549
MYO1A,175.696479405813,392.503121840785,1387.25425283756,454.95843070454,1716.79184519178,616.477011801226,15.3219450972838,402.853926340345,295.991683505301,220.124449328629,790.449395463259,1017.96237021887,347.545208793497,446.545565271855,31.1247230524532,4861.64424112998,2703.14119385141,1047.25166235664,6663.81929788651,96.9865102366359
ZNF394,386.604227266445,467.771051666996,368.057380201183,361.409439902783,905.498121388765,724.542341906162,381.33987514635,352.615924300016,336.303681699553,1065.65350235631,481.112924208443,457.804064104983,489.61637209554,442.783978562276,347.251016617257,413.3502448538,745.228539146558,683.902574693264,443.528723573084,524.478157826433
LIG1,296.726373239293,987.965892585173,469.385447178342,763.146753364633,442.134258518609,473.081396637508,266.131111999922,434.783305819978,320.500117102939,884.090446259026,304.132233796434,515.092129743148,220.22403556164,490.972290245854,459.143891718908,367.520498950375,623.478797986158,841.429509896235,361.601787733281,321.275420461168
NTPCR,393.139001288749,438.933531509721,333.02238658371,376.409260108741,574.103276994961,479.700746269077,452.08407330185,474.567620279457,577.240489488866,346.040364315062,449.144247488458,338.532448194382,551.913549590295,680.540982762854,592.862853454375,425.776830263863,578.9848656453,324.953929389662,363.260640319325,492.319458967467
KCNJ15,1545.92660185227,26.7277068905509,548.771277818503,161.753948661624,130.825101922696,163.317035126883,412.236262123528,1170.50503660283,1523.71534460549,488.982331327074,1261.75468120095,852.911017005765,1342.287667498,1344.04707591345,126.623106440235,66.7203999138482,27.0893545080509,21.4416731574017,154.694154271248,767.802656972157
IGHV3-74,465.434080421524,56.892888435186,1678.9701890587,1633.3722762472,1926.73933875934,2367.55524633335,94.3975369395395,110.16318480593,272.589882765561,148.043902477171,598.581086644382,283.03143744851,88.282932753568,93.4159609988746,2440.57779011775,154.137055875277,1235.04927188647,1077.94312332255,2542.31148276382,435.780677016509
DCK,420.125910466739,533.829861939093,483.503166398643,840.82084104911,601.382672556989,619.053719833225,172.269408772581,392.038897055751,300.157895954085,429.852738802129,492.584859152494,612.315742348955,264.700172333037,349.230655010735,331.87671742858,429.312826601043,471.295538791659,610.346042579434,293.973291342006,587.063105389195
PCCA,917.508628291183,445.07620146792,623.620062440385,298.483730350089,340.065262965403,271.082226127137,942.144358626696,916.525572681921,1083.91357149406,991.794700584011,552.505436512294,370.281410861926,1022.13768578748,1308.4224099373,281.243891626495,399.920310748607,456.063206559057,403.320440969622,417.857351040018,307.222322868357
COMTD1,442.533768016177,130.909193044428,617.69975703867,333.094000431902,288.967589122655,272.422757116552,458.315501457672,550.442638382548,491.614467202081,930.534005208707,417.770920796953,427.048128609759,346.444286594514,475.507350909419,440.925157314405,774.766512419034,900.059226677928,1118.46257182424,619.125366467198,358.410246768133
SH2D3A,467.153937390455,181.422064625732,546.103161477266,243.944081542641,619.037024303751,494.582863836533,261.374528530262,394.464122678532,347.038449716028,477.412752358668,433.637830517852,473.056818074599,320.997265006698,334.042399659889,95.9690649569178,910.806474657634,717.157574729869,534.448460610049,615.290025841248,241.551238465633
PRC1,238.838679695259,2109.05161715314,424.684133469424,475.992916237624,644.513339809026,796.193925563254,39.8688215548909,164.241866170484,165.239277801457,636.140669270298,201.540329474815,317.058199923113,107.249902064636,89.665992183239,501.999292924257,683.885147900891,1155.69350638948,920.287099996957,228.12957797854,490.264558873776
ZNF318,396.532314413921,443.081340816962,435.254049625636,671.266575216023,449.676069398096,574.823020188447,563.244150837425,395.025999263568,497.222193403093,386.956437625001,424.41712951056,647.733928842659,402.674965955555,269.219637681201,450.707656209503,466.859292701815,857.593619727324,858.428554078032,758.104525928952,389.304595213886
STS,442.161527961149,208.626071453457,1888.35434483662,457.98074297539,627.590313585115,495.696722191163,436.575932900378,678.919016237824,426.193735171319,302.224260544385,1200.45783036008,900.55313699687,420.140380329958,410.993530022524,655.09513769354,530.495564827623,225.450003333984,259.860103353942,516.96410679296,353.977959815181
USF3,480.495187994282,327.401276282934,608.4268933837,544.54222637769,465.554657800076,328.518800331106,715.914467012318,541.899866928892,632.200621797916,911.76995945409,337.769813126499,346.296122702153,689.580709706411,817.397513067902,407.718056331323,417.581710034255,369.836506614726,163.668823040734,434.284512590922,178.781451724385
ZBTB17,438.128610606989,575.097745257423,519.751332759387,533.89928354812,287.621545640601,298.925511244209,540.769280643971,467.609465928701,483.476569612017,314.193154866323,448.612785926743,515.69529956329,541.677116977292,415.004825908211,300.248751546801,308.46950455108,284.65644960279,445.008212897876,450.914333629696,706.014448099114
DMD,767.233000812997,179.797710384442,584.294857768793,293.960081515026,264.029601778398,408.075525382776,1777.06495958065,1256.87448943716,1289.5689097117,615.718899614836,499.328963071722,447.850432942139,1025.8620970594,944.469270949432,270.524060351566,269.367757480906,147.831772690555,451.648953265014,329.304639864616,319.426517259956
IFIH1,452.20208854832,550.708837273089,463.905091838889,780.07493105105,436.495890502153,518.524315908357,393.426057866392,326.678743075583,342.129975250266,216.222486952083,503.993946917313,662.685847800499,427.765207318059,452.515765849827,894.939609149433,350.193985484545,260.801374435069,397.677913564045,447.20609068036,453.671071305101
ZNF731P,315.711946168883,223.537511238485,479.919531812478,840.344925833065,502.707771440856,440.159826380366,471.86317967867,428.424565133818,492.549271279693,378.077977051727,547.028755926464,814.321793623844,435.611239942447,279.753562187142,193.868671253742,448.38810669329,571.810283065932,502.885643497154,451.012448376385,385.917166291512
TPX2,181.119006766889,949.301064269314,505.261137631827,641.120246084843,660.884127597779,690.513191205892,23.2484868411141,132.393339322929,233.97383309795,409.064464755518,205.483789892502,285.203843386657,48.1915900685989,50.7515343014317,1124.51557756194,569.646170786106,1375.66852056796,1640.77132566479,432.356404187586,466.368870484258
PPRC1,654.300079154125,448.366996404246,434.551276850434,583.405167471876,439.701649646037,406.553577462933,502.831541752243,336.471695782757,348.66397184481,221.150481850191,359.570915682219,450.21385380606,872.006246375887,405.029874062452,1020.84483457545,372.018715718673,920.960317790215,648.345770029709,685.829004924641,491.604742947888
ZNF317,373.523677383475,356.857624951978,449.820615264075,387.01214005341,631.342685333711,478.580390567466,350.546626103232,495.819513703758,480.464091985639,453.153299253461,479.978290628283,444.76781787928,538.052345118466,597.486271682186,423.658673316053,486.350551169682,448.403717891263,309.131655363238,437.239940137128,340.908858060188
MRPL10,466.158468555664,405.404769374491,314.812515212714,351.131811168116,839.428480484146,753.021899705931,883.355880083799,626.581524135562,805.845253513904,250.963347465556,624.043932507023,499.374574599802,456.137521687694,474.15290982415,370.99091138182,442.065132230401,415.190181010326,375.755389627543,358.460462686963,364.524019459317
WDR91,549.109880658322,504.927456416911,443.590255363575,454.44958701474,188.063162254996,192.918919127358,787.291222948506,560.361254348087,506.055054667239,507.477212298967,304.819480344725,332.770805478686,566.132218629267,479.748297267399,715.378371801936,152.002278256086,235.157745191879,254.582138115011,304.456905959857,343.569599978684
SQLE,463.940728249499,1064.13416672963,531.280352303596,354.948337510436,489.144028483471,293.598336121773,429.529941189147,291.968600671936,266.154333790642,855.163379853734,578.762193882467,309.87679749268,490.879082844758,398.99099786485,1005.41579764329,1171.24507439827,535.495798219015,209.209412854837,434.066902558968,252.649430022786
ZNF692,296.645706173697,390.123908930689,491.197104211836,568.55904148564,271.545256360028,285.026180223204,651.454404489003,463.437289109731,500.708478985698,495.572903757167,347.136371090565,581.966037711348,353.909025579692,495.596454196008,257.587890415221,350.024445495498,625.78783391489,434.240766192023,374.825083257023,629.419859695049
NOP2,468.199225609937,684.43237468599,311.807154562797,429.222169605894,725.796634226946,608.738519085986,353.104946716156,290.925864662176,399.349840038957,562.336006887622,401.122526865765,491.177293492845,305.98784879473,205.754935249263,800.730530006314,398.916716835517,1196.99724741105,664.38792017323,414.757828874172,468.241298708227
TP73-AS1,556.861151917729,236.445642553509,451.951032195796,366.310947638957,190.612498398646,263.232251659389,793.158660617014,500.16835739886,596.908434222012,1136.86423505692,495.372243685454,519.859429616092,581.86680853967,569.300842731039,240.966011490442,181.688657824288,101.54075734988,278.484408298442,346.394246398182,445.401285168046
MTX3,490.593420191533,460.090690951574,436.551558943449,514.898801491295,327.213866597161,329.835254632958,560.913909850446,498.4069310565,729.706482890943,647.740791150116,334.672867141078,505.644937167837,581.421392178385,527.72590004342,282.084838217106,241.111706673373,286.432763270551,232.434117227061,357.464841505128,247.66379921823
EVPL,339.055798902917,1317.4599270706,509.200718772344,570.374542422371,524.639101406462,380.499612313773,246.115338436009,363.186315719418,314.765713422396,479.93181412744,370.608691820125,416.651778362987,292.986352288663,264.247322560281,1032.08336240675,713.284973266043,3861.88538756462,1892.86387352888,733.097340207078,113.399381269876
R3HCC1,482.74170379524,254.457253085851,330.157994373289,304.019906059818,633.227881622835,446.891694188956,675.391483878187,515.123853589643,517.647871778783,739.841674767368,402.547468892924,313.494969252976,762.17703903909,806.402301204779,263.688192032139,361.00821120629,439.776693581892,480.419826322489,443.626741129695,449.631735531716
SOX13,440.152342717639,962.513089253506,448.162311383051,619.546650147671,504.091104891998,412.870608441862,619.183598762372,428.373992540885,433.925661181279,288.918330769235,442.529211421715,411.119199334051,392.602235682807,499.878078640698,636.695594021747,539.185274374307,490.496090479837,306.211352299399,693.914074437976,448.308245315209
ZNF629,578.298123099528,549.418588462354,364.332147510499,414.633518658981,331.218397117033,449.652017129791,591.170594372851,540.805274085025,621.926064552584,361.547848919218,472.960424920786,399.508115306345,625.787912405804,633.912593960893,625.336096513651,433.402565058517,394.672085938028,446.640154055409,356.911345899088,282.583401868015
VANGL1,509.69548335704,824.377885726099,564.088949109151,441.380838319522,400.439086706237,452.362819373751,311.231207265243,339.752623396201,461.763430586988,209.553560727976,411.481768149567,326.332276832081,369.393259791017,161.512607531717,619.605079620106,545.044029315877,448.501488783016,450.156474192312,447.760158773836,472.611957296825
MIGA1,549.216202182654,456.182661050239,480.833582255964,349.619493231962,448.560169930638,456.218403679922,447.643599576198,435.53189932464,530.455036691764,482.734055914585,476.296488874983,382.39407423478,478.109421093092,434.319495416128,352.738835968311,514.043839860351,271.662309010506,271.652884512445,436.90941107183,215.745068158702
C1GALT1C1,394.635425790137,507.794466345451,448.005307079812,347.569521050115,625.760413248865,576.358534698016,272.342857301268,350.074560077288,346.305209084951,400.196231357097,494.011456141329,354.639475577992,377.428246354216,470.419645039213,664.252110816727,658.073927395313,676.82366411559,856.782052755906,448.059077758313,441.563467920061
VPS37A,397.61493102789,279.163699676673,545.146931575829,285.816666697099,714.363378936813,616.915399509019,409.979292381829,526.876272841525,520.608193326005,1176.40322416783,392.901078287013,490.98396948825,405.227501893601,206.712597319647,341.60384390433,619.332127332153,403.43749302269,345.890694391077,520.922765485284,486.081227438418
GRB7,291.248258087289,1030.35729762793,368.967607324136,632.803417427204,497.742772634825,318.171771624279,399.287444985346,333.207303066835,699.249344532229,628.662598551341,261.944290093186,325.11939255496,619.605626917572,496.755118388386,777.377313644792,374.483015905455,748.446783085704,866.143843805233,153.834014909858,144.446482930668
TSFM,449.435756570999,701.563399724004,350.374472026537,244.144805228055,586.82230308045,445.947630154197,358.810596984038,411.163590620373,459.098270836471,619.134042457406,361.35834823145,432.315831238524,500.096631896327,505.211840130275,371.652165086427,486.68972203672,495.98659948739,450.154980199235,395.48756738594,428.05088340311
FAM189A2,521.794224202632,55.5089367786343,547.787337325731,98.5618596177084,465.960316338348,320.67886892886,689.393652142439,460.019862219346,701.760937045125,925.749667990194,435.348300056834,469.182031907143,603.27084064293,468.498109937187,50.2812392572361,125.124250998118,18.3686161231187,10.8216913359647,159.71578127773,19.0898162008549
CARD19,469.990597812809,540.896828778283,379.026077111465,402.300252288483,569.137719445097,438.268209196492,300.910869973119,476.047923284898,333.774601038188,374.865632104501,444.681625995696,334.692321491304,409.826803810512,450.367745228056,385.211519505708,698.444662345193,630.74650434033,475.660599554552,489.962996239752,527.49158183053
ADAM19,437.58162675968,345.044928705526,231.67245159576,648.72338648708,613.330082173734,825.423168086129,248.777980902934,399.551972137887,425.662483074435,457.278893980879,511.276972892182,653.77369228188,243.139622580138,260.556798518962,519.482343181519,179.701331043312,332.16288591062,793.736284828631,579.960298921591,551.068734795626
NAE1,480.120134671301,295.82318737818,432.403971872682,437.310672987207,399.391962476786,440.314558013379,349.853688318569,398.2007701407,472.346302782717,420.623695556277,432.528525661951,454.519153990912,465.519724779763,487.42484965904,391.790967771186,608.913669737903,510.853691328446,559.914432166402,492.722112763919,489.477682832323
TRIM65,471.779655748569,860.566430225932,447.778374077315,434.330536105965,447.051608719194,481.439799416776,407.162817511785,428.548704657666,407.125016436908,707.973573600118,319.036761891273,355.113192653077,388.350863461369,465.43194323935,296.680863288845,500.169979587837,576.96662147091,396.815514877029,556.527492062249,617.543300553473
TSPYL2,394.114253520849,367.571146596858,520.722480404762,616.212886820929,242.529405033623,345.057204827563,1734.13939271315,643.135230990692,412.335104011301,283.522940733901,887.267609513079,1090.58318908459,960.00231750442,624.557178585743,330.623203970842,277.631229352838,328.701768686116,280.731149230079,498.869568310909,482.377270347672
JAM3,386.137929763262,362.00246699141,455.86590549647,573.56851964967,307.212956138351,492.745775143603,438.83456220584,512.181951494284,386.597602527126,628.754243561024,648.748885370663,618.875618596212,330.446212242005,370.272101230707,789.270401106371,346.189195790001,162.028309952778,325.078808113468,471.04341476971,769.904778974861
RP11-544M22.13,311.260133056791,1013.06920757613,537.894297697735,323.981615250629,3305.66358792352,2146.82105604092,266.355833599644,77.7481379297673,858.009922472643,0.0,995.361410595623,572.514137017137,366.577209455014,19.954506136755,382.012037893387,743.176384734908,791.285565671362,440.876380539342,453.582132628329,421.740941680689
CHD7,378.621101063933,1033.07275652969,864.072011358705,1287.892806186,408.063235860893,290.492362441229,360.851318636455,445.354907042083,327.067168323731,1275.60434065635,377.655186114696,846.956320260717,526.415710980252,397.390962293562,315.638596177698,448.941289642112,837.354707114503,645.590096009033,764.332886685647,210.145203535226
TMEM14A,486.523809406934,763.807201269835,486.056447158769,412.167364478946,357.825345519926,304.032563255449,284.188009199861,460.590597105912,360.057422347091,384.403383680008,543.587968078788,387.49804416655,457.853780217857,654.021572709886,436.433286011164,624.530898341417,497.830839169591,381.298398380951,493.010917642952,382.646193450549
ZFP62,401.132370086603,833.961016314818,447.340756920655,359.071919937549,394.108350299034,320.220655609001,443.065569910879,485.260498475971,459.359322871492,379.413116186685,412.249995275667,506.30837429787,475.505849374925,477.278967222143,444.554216402136,544.074477599673,475.997487104615,571.232833897259,382.321236047244,446.467912760907
ACOT8,399.443179398431,470.181679658941,353.749757750426,211.697181097834,654.293195022293,756.504874595914,498.156544866236,426.453087058628,503.497336785574,805.820987058025,281.512995994959,258.18718497315,467.352682932656,515.410411914999,287.155619788727,576.654876818646,412.996327303435,405.429740370882,604.357306670801,344.909040607954
GUCY1A1,398.836853104396,793.08224486774,222.06249634338,2396.20338422182,891.715587379373,2105.5614156199,390.203385911962,1314.48921863747,348.776501116921,140.949601680934,544.93682105866,420.024620318468,174.634732453423,162.429936133297,1337.39698386421,305.511646389399,82.3982553546228,473.570404185046,824.262931563241,3190.64803959143
GATAD2B,408.686140173024,690.153078069663,588.614136505548,1001.01117231237,540.705246661632,625.929923536029,546.068601339219,447.908500120432,516.513735783472,406.484591056918,435.490115919688,439.206254442093,431.392840377752,445.667781279831,498.750243360669,280.052793585804,464.071984037522,306.613211047916,363.079717596199,328.146589901935
NDC1,752.717159777417,1031.54930482273,522.991001907674,503.264967964238,504.566184690614,443.284827012396,215.129265742742,265.537497183314,445.952042194707,364.831750576767,373.272979569634,404.493209592916,278.650956739782,208.125203045581,668.079308608216,761.253424782513,685.306605817471,546.733708405244,447.571102350605,441.377086642476
ZXDC,436.999392672288,984.814945558891,491.782513072757,450.23136770255,385.904660324794,363.032785573994,546.165899497922,408.806931714254,503.627837017145,494.433463685287,469.645081844723,505.194237629685,442.592396832288,359.644060510512,487.174992222768,364.278959955305,510.262372425502,441.967713572473,397.173414909764,264.429644267566
ZNF865,385.531129139242,418.19437073431,434.967098483519,419.320752303928,461.308294400998,524.724258697046,520.086784944237,421.804043974943,550.026608751913,557.375269520448,433.731197977051,447.563207267341,417.850258794574,478.508446127396,567.286250825723,444.942138110483,453.246278665465,419.725881762919,491.644610184605,283.687747740148
TAF5L,394.672076263091,469.434447738002,378.106728907055,471.569532599785,822.589125329396,711.176691080704,346.905754865086,328.105309414215,324.752064211846,226.662894058603,534.510906366454,386.022154606466,422.606477374734,277.037318961997,478.772905801307,690.843292272883,569.570647088909,551.668486596821,388.184103624974,472.568730738742
TERF1,626.96139132866,401.682247774617,526.722083291664,438.488158626981,444.341251720685,379.971157173643,758.219192866525,549.870269267819,610.094614205566,634.893691142141,507.500588652522,412.420489335075,722.910039178207,653.63463827017,396.485261910709,447.236789191211,321.682760177907,256.404629739614,386.633669457805,341.930810717258
FTSJ1,448.984177633351,524.070790127109,442.516900703312,396.243865736584,455.8921484855,557.199365842837,433.446798192908,368.142922820737,328.955259036863,329.86048865621,381.724816345142,455.709775462219,410.638428217493,433.422732420645,520.106941050335,449.666848456644,574.225148718991,474.059571780581,317.249555896738,537.150667100792
TRIM5,505.418434561633,204.201017275928,342.362863866764,453.424355686325,455.910720511037,489.255930813573,501.55154190863,506.136933862147,371.528390220373,319.34792622033,468.851106194039,537.792679506734,447.726026447143,363.12837602099,443.658503244867,625.198836371615,197.067854545985,354.401925740414,393.603197559292,276.050605361709
MRRF,416.605255336316,503.141591209552,431.352289602632,481.377893350275,722.156123249949,501.533415515313,329.543944056647,337.768344342153,398.063685386323,295.894116499901,391.909538710449,490.883789801374,425.136594745074,467.684002131246,253.098891540309,821.052083460639,505.113629575911,359.161291102968,459.795597501715,663.385871903011
CLN8,458.072518529482,367.335214206713,316.632368914841,598.106531595396,850.928565822801,444.49932373245,551.034044909,546.427648127927,846.640615638587,1284.50143589285,367.829807003669,414.377639993269,782.941800959304,491.013582310839,245.767166473761,307.404880764139,398.077364852485,446.130901794402,441.045272950339,395.197425337537
BLOC1S2,527.909578556199,371.122624851155,359.781407155042,548.307833342568,369.646595214703,543.090145375901,393.435403880999,372.401006479982,521.601837272059,241.840184925847,444.523302763197,426.242526136486,466.426882120376,563.773692101361,650.01216416206,446.05437922062,419.720079185304,549.114442078971,317.976391881894,642.239714708131
ZFHX3,468.896465435099,411.439258116582,536.866140263689,484.289167608082,306.885850825045,313.140973219912,573.772726533874,500.640217686312,545.439085444489,429.69562366578,591.233814749566,628.711079796868,382.081617061326,347.23887779254,856.817864850089,295.945455018624,460.681283412197,334.823978815294,417.822199225156,234.287687932897
ZNF791,360.561461815901,317.13513465724,433.978723683523,693.83673339496,668.446992817927,665.906597402702,774.116972896453,380.433077988233,450.247098901026,450.515861229467,407.252018751503,483.813003322172,486.647732670816,552.829243011511,546.788620576821,380.13164100082,439.844526513974,309.723827619709,356.957675763856,271.98925642087
NOM1,446.457326210077,595.737964584395,422.22386950284,552.465811691527,630.651766054593,538.279431180679,355.535964822877,443.542239448436,334.291460967758,1080.85252385153,337.779148008438,543.449547814581,376.867820783942,265.517469582564,461.697652107241,360.40356307964,1088.23784330566,830.05157568727,419.765158905821,264.942368632822
PRKCZ,413.302135692415,884.243257036806,387.69453501819,413.035651019688,497.083059723922,357.789478193645,423.264008034769,415.671629453489,454.659860319521,434.902286340079,420.601753704006,430.094650590092,552.088850020734,638.731687675808,864.01319707604,878.940888571023,771.994307843158,718.675866957601,898.859065156245,282.578509937034
APIP,530.302063277105,406.205964508543,414.151614573184,344.952925775661,454.606725554791,434.69742183104,340.072563361087,349.42289532545,634.218217999827,612.728740540796,465.119295699484,365.817868418156,474.054395152529,558.917015142778,493.713788768239,488.267827468922,218.79892440087,265.927707778287,352.121992900979,460.983865422597
BTBD10,519.755432589869,449.230920247816,481.550138639385,632.684538476076,614.514667399321,618.693735123758,236.361634534635,336.865124985701,384.37640991972,271.481232789316,496.472170544229,377.329084523578,394.20378480417,380.494009752806,439.966625386573,534.755558387561,367.128390688635,306.706947849227,458.958078859631,560.031940218291
MRPS22,444.958545525101,544.77546920361,399.502388689423,349.889394485616,504.543003525726,429.623233576058,465.207967776354,478.796165663968,510.40218312001,319.129648571319,383.008703634215,341.833916833175,556.825909244413,658.777945936501,673.78154980026,666.457454896483,430.493731629898,345.696993942613,443.876074748124,373.504411391291
SIRT1,561.286704900366,318.510917359015,449.994139381669,457.62711164061,438.679928635887,383.140933632439,426.845727972439,521.583251374812,599.087178435724,581.193858611717,489.940441102093,525.286037822055,715.298539915254,596.636796202103,429.733658842057,364.037174724648,426.605213789729,341.369239044866,353.572917759985,363.415148868239
ZMAT3,550.382945267792,393.458160966944,883.188655139451,868.862595194139,1048.53939480306,1214.42712216556,427.226333948408,426.852636958112,461.020894897144,336.690635741756,670.337824377684,631.057327506115,307.866022258865,282.216526592602,279.886779879651,404.85925645077,378.429394444549,373.224372119384,675.32339217893,893.774688460166
ATG16L2,495.248415502431,435.054944389632,582.54569057471,1099.56428424182,390.761625282421,379.161759258868,710.555002130713,443.521783432775,444.62909306036,1273.66999014542,575.027639049522,860.916634398224,371.057315429386,399.281452560788,154.494130416934,333.741923757086,412.828327598412,422.477183226301,640.155392609012,613.388983088001
ZMYM3,389.91376703307,592.524819992807,505.940276496244,562.117118686088,370.267468085271,385.439155680498,489.175219543346,328.018542332778,487.652785515021,478.991036942033,353.508011815209,442.528558286894,445.404234825768,409.915752252978,637.782756558047,301.577016607089,529.11678671651,542.186594433678,404.609346906838,310.583804926817
RGCC,466.016452745704,766.983597709185,310.220730999032,371.856135501283,174.028813976996,208.087229820623,778.274899993637,461.430341064626,518.267741279362,700.502385303815,402.484132871927,555.44890227692,1109.91205623637,1193.59840712198,1195.58069135015,171.554584521846,176.607007315299,426.472473512007,194.341752646603,398.75257223165
PHKG2,385.005919185991,624.233308589211,477.356612479593,517.585481646439,342.890737353196,394.707324159925,457.69908226708,447.586994403691,357.772338238562,480.988970850461,409.995197292552,440.196501652373,548.217805209288,511.990147239103,457.028404601073,406.424490718798,471.875832420529,423.357156711338,403.292782062901,416.401209735344
MOB1B,485.51609269263,277.927792358623,448.941339339009,623.824797684492,372.45852426245,444.561130887792,648.103838943973,558.808411574495,597.99030530863,443.20837717204,447.976944123036,439.264319573419,492.841061918825,476.0901092214,338.597739060989,265.56949923919,367.469044009634,369.283411123599,307.222724217815,357.636579039836
ARID2,436.200988992944,403.584333886845,501.051531346853,427.908854220331,434.048407395114,451.523887183936,525.643561949025,434.326894465531,461.968232562871,220.546948565258,426.971797081903,575.215095839917,541.98665547652,478.307799996455,374.513962058943,457.673379892887,607.90979454465,656.110654998604,345.561721961204,340.448403245568
PPME1,474.837517620307,425.465663570491,522.829900928124,357.18924467407,1719.31962647406,1843.74976189674,485.105806094527,355.901333229758,468.830066598617,520.177819433981,490.730236477615,430.827182028184,367.002547915781,376.646866645688,476.802340700817,448.216680121804,439.423935605245,351.682725543839,335.402690089221,410.984072749824
APC,569.144866711929,327.569887475135,481.256364526518,493.945283088643,600.722962928128,572.234255654227,449.019521339923,386.390319337585,436.993279698146,277.67728230727,458.910043335661,516.613585087875,177.147345168061,188.162292760753,208.52698754768,822.032732861365,454.28084458368,279.6530625152,438.586560374035,274.51898006993
CCDC68,419.406866853551,450.331678152298,1247.07862508101,441.265074484087,573.83683728773,345.287420600956,262.153147300675,555.195746519748,432.283307531738,559.90982864604,488.553699926124,446.298375238081,575.56141660633,311.322983404924,23.1837167467241,1252.45927890583,257.569724928895,95.3795504346749,803.227701732929,233.543249487099
TIMELESS,466.976393632749,1404.3816532146,442.772790803014,772.523905352949,564.492200786274,580.954479748787,138.562889928003,321.353159372682,261.155412442799,506.754501949345,373.629756112781,444.563733852803,204.495671095901,241.14796986835,768.752021432698,360.929128726771,837.819350275972,1034.62249600403,316.356582934543,431.333523582506
